# 文件名	标题	分区
about.txt	关于这份清单	说明
source-code.txt	获取源代码	说明
component-list.txt	组件清单	说明
GPL-2.0.txt	GPL-2	许可证全文
GPL-3.0.txt	GPL-3	许可证全文
LGPL-2.1.txt	LGPL-2.1	许可证全文
LGPL-3.0.txt	LGPL-3	许可证全文
MPL-2.0.txt	MPL-2.0	许可证全文
Apache-2.0.txt	Apache-2.0	许可证全文
ubuntu-copyright-ca-certificates.txt	ca-certificates 20260601~24.04.1	软件包版权与许可
ubuntu-copyright-git.txt	git 1:2.43.0-1ubuntu7.3	软件包版权与许可
ubuntu-copyright-libbrotli1.txt	libbrotli1 1.1.0-2build2	软件包版权与许可
ubuntu-copyright-libcurl3t64-gnutls.txt	libcurl3t64-gnutls 8.5.0-2ubuntu10.13	软件包版权与许可
ubuntu-copyright-libexpat1.txt	libexpat1 2.6.1-2ubuntu0.4	软件包版权与许可
ubuntu-copyright-libgssapi-krb5-2.txt	libgssapi-krb5-2 1.20.1-6ubuntu2.8	软件包版权与许可
ubuntu-copyright-libk5crypto3.txt	libk5crypto3 1.20.1-6ubuntu2.8	软件包版权与许可
ubuntu-copyright-libkeyutils1.txt	libkeyutils1 1.6.3-3build1	软件包版权与许可
ubuntu-copyright-libkrb5-3.txt	libkrb5-3 1.20.1-6ubuntu2.8	软件包版权与许可
ubuntu-copyright-libkrb5support0.txt	libkrb5support0 1.20.1-6ubuntu2.8	软件包版权与许可
ubuntu-copyright-libldap2.txt	libldap2 2.6.7+dfsg-1~exp1ubuntu8	软件包版权与许可
ubuntu-copyright-libnghttp2-14.txt	libnghttp2-14 1.59.0-1ubuntu0.4	软件包版权与许可
ubuntu-copyright-libpsl5t64.txt	libpsl5t64 0.21.2-1.1build1	软件包版权与许可
ubuntu-copyright-librtmp1.txt	librtmp1 2.4+20151223.gitfa8646d.1-2build7	软件包版权与许可
ubuntu-copyright-libsasl2-2.txt	libsasl2-2 2.1.28+dfsg1-5ubuntu3.1	软件包版权与许可
ubuntu-copyright-libssh-4.txt	libssh-4 0.10.6-2ubuntu0.5	软件包版权与许可
ubuntu-copyright-apt.txt	apt 2.8.3	软件包版权与许可
ubuntu-copyright-base-files.txt	base-files 13ubuntu10.3	软件包版权与许可
ubuntu-copyright-base-passwd.txt	base-passwd 3.6.3build1	软件包版权与许可
ubuntu-copyright-bash.txt	bash 5.2.21-2ubuntu4	软件包版权与许可
ubuntu-copyright-bsdutils.txt	bsdutils 1:2.39.3-9ubuntu6.3	软件包版权与许可
ubuntu-copyright-coreutils.txt	coreutils 9.4-3ubuntu6	软件包版权与许可
ubuntu-copyright-dash.txt	dash 0.5.12-6ubuntu5	软件包版权与许可
ubuntu-copyright-debconf.txt	debconf 1.5.86ubuntu1	软件包版权与许可
ubuntu-copyright-debianutils.txt	debianutils 5.17build1	软件包版权与许可
ubuntu-copyright-diffutils.txt	diffutils 1:3.10-1build1	软件包版权与许可
ubuntu-copyright-dpkg.txt	dpkg 1.22.6ubuntu6.1	软件包版权与许可
ubuntu-copyright-e2fsprogs.txt	e2fsprogs 1.47.0-2.4~exp1ubuntu4.1	软件包版权与许可
ubuntu-copyright-findutils.txt	findutils 4.9.0-5build1	软件包版权与许可
ubuntu-copyright-gcc-14-base.txt	gcc-14-base 14.2.0-4ubuntu2~24.04	软件包版权与许可
ubuntu-copyright-gpgv.txt	gpgv 2.4.4-2ubuntu17.3	软件包版权与许可
ubuntu-copyright-grep.txt	grep 3.11-4build1	软件包版权与许可
ubuntu-copyright-gzip.txt	gzip 1.12-1ubuntu3.1	软件包版权与许可
